Season,DraftType,Round,Pick#,RoundPick#,Team,Player,Position,College,PFR_id,CompPick,PassForFuturePick
2022,Expansion,1,1,1,Michigan Panthers,Shea Patterson,QB,Michigan,PattSh00,0,0
2022,Expansion,1,2,2,Tampa Bay Bandits,Jordan Ta'amu,QB,Mississippi,TaamJo01,0,0
2022,Expansion,1,3,3,Philadelphia Stars,Bryan Scott,QB,Occidental,,0,0
2022,Expansion,1,4,4,New Jersey Generals,Ben Holmes,QB,Tarleton,,0,0
2022,Expansion,1,5,5,Houston Gamblers,Clayton Thorson,QB,Northwestern,ThorCl00,0,0
2022,Expansion,1,6,6,Birmingham Stallions,Alex McGough,QB,FIU,McGoAl00,0,0
2022,Expansion,1,7,7,Pittsburgh Maulers,Kyle Lauletta,QB,Richmond,LaulKy00,0,0
2022,Expansion,1,8,8,New Orleans Breakers,Kyle Sloter,QB,Northern Colorado,SlotKy00,0,0
2022,Expansion,2,9,1,New Orleans Breakers,Davin Bellamy,EDGE/DE,Georgia,BellDa01,0,0
2022,Expansion,2,10,2,Pittsburgh Maulers,Carlo Kemp,EDGE/DE,Michigan,KempCa00,0,0
2022,Expansion,2,11,3,Birmingham Stallions,Aaron Adeoye,EDGE/DE,SE Missouri St.,AdeoAa00,0,0
2022,Expansion,2,12,4,Houston Gamblers,Chris Odom,EDGE/DE,Arkansas St.,OdomCh00,0,0
2022,Expansion,2,13,5,New Jersey Generals,Bryson Young,EDGE/DE,Oregon,,0,0
2022,Expansion,2,14,6,Philadelphia Stars,Freedom Akinmoladun,EDGE/DE,Nebraska,AkinFr01,0,0
2022,Expansion,2,15,7,Tampa Bay Bandits,Mekhi Brown,EDGE/DE,Tennessee St.,,0,0
2022,Expansion,2,16,8,Michigan Panthers,Adewale Adeoye,EDGE/DE,Utah St.,,0,0
2022,Expansion,3,17,1,Michigan Panthers,Cavon Walker,EDGE/DE,Maryland,WalkCa01,0,0
2022,Expansion,3,18,2,Tampa Bay Bandits,Michael Scott,EDGE/DE,Oklahoma St.,,0,0
2022,Expansion,3,19,3,Philadelphia Stars,Gus Cumberlander,EDGE/DE,Oregon,,0,0
2022,Expansion,3,20,4,New Jersey Generals,Kolin Hill,EDGE/DE,Texas Tech,,0,0
2022,Expansion,3,21,5,Houston Gamblers,Ahmad Gooden,EDGE/DE,Samford,GoodAh00,0,0
2022,Expansion,3,22,6,Birmingham Stallions,Chauncy Haney,EDGE/DE,North Greenvillle,,0,0
2022,Expansion,3,23,7,Pittsburgh Maulers,Nasir Player,EDGE/DE,East Tennessee St.,,0,0
2022,Expansion,3,24,8,New Orleans Breakers,Anree Saint-Amour,EDGE/DE,Georgia Tech,,0,0
2022,Expansion,4,25,1,New Orleans Breakers,James Folston Jr.,EDGE/DE,Pittsburgh,,0,0
2022,Expansion,4,26,2,Pittsburgh Maulers,Eric Assoua,EDGE/DE,Western Michigan,,0,0
2022,Expansion,4,27,3,Birmingham Stallions,Seth Thomas,EDGE/DE,Northern Iowa,,0,0
2022,Expansion,4,28,4,Houston Gamblers,DreQuan Brown,EDGE/DE,Central Oklahoma,,0,0
2022,Expansion,4,29,5,New Jersey Generals,New Jersey Generals,EDGE/DE,Jackson St.,,0,0
