Season,TeamID,TeamName,PlayerNum,PlayerName,POS,AGE,HT,WT,COLLEGE
2022,BIR,Birmingham Stallions,0,Ryan Langan,LS,,"6'1""",237,Georgia Southern
2022,BIR,Birmingham Stallions,1,Peyton Ramzy,WR,,"6'1""",173,Tuskegee
2022,BIR,Birmingham Stallions,2,Alex McGough,QB,26,"6'3""",214,Florida International
2022,BIR,Birmingham Stallions,3,Tae Hayes,CB,24,"5'9""",182,Appalachian State
2022,BIR,Birmingham Stallions,4,Osirus Mitchell,WR,23,"6'5""",210,Mississippi State
2022,BIR,Birmingham Stallions,5,Christian McFarland,S,,"5'11""",200,Idaho State
2022,BIR,Birmingham Stallions,6,J'Mar Smith,QB,25,"6'1""",218,Louisiana Tech
2022,BIR,Birmingham Stallions,7,Victor Bolden Jr.,WR,27,"5'9""",175,Oregon State
2022,BIR,Birmingham Stallions,8,Michael Dereus,WR,25,"6'1""",209,Georgetown
2022,BIR,Birmingham Stallions,9,Tyree Robinson,S,28,"6'2""",215,Oregon
2022,BIR,Birmingham Stallions,10,Brandon Aubrey,K,27,"6'3""",200,Notre Dame
2022,BIR,Birmingham Stallions,11,CJ Marable,RB,25,"5'11""",194,Coastal Carolina
2022,BIR,Birmingham Stallions,13,Manasseh Bailey,WR,24,"5'11""",190,Morgan State
2022,BIR,Birmingham Stallions,14,Sage Surratt,TE,24,"6'3""",234,Wake Forest
2022,BIR,Birmingham Stallions,15,Colby Wadman,P,26,"6'1""",185,UC Davis
2022,BIR,Birmingham Stallions,17,Marlon Williams,WR,,"5'11""",204,UCF
2022,BIR,Birmingham Stallions,20,Tony Brooks-James,RB,27,"5'9""",190,Oregon
2022,BIR,Birmingham Stallions,21,Bryan Mills,CB,22,"6'1""",174,North Carolina Central
2022,BIR,Birmingham Stallions,22,Lorenzo Burns,LB,24,"5'11""",183,Arizona
2022,BIR,Birmingham Stallions,26,Josh Shaw,CB,30,"6'0""",195,USC
2022,BIR,Birmingham Stallions,27,JoJo Tillery,S,24,"6'2""",210,Wofford
2022,BIR,Birmingham Stallions,29,Brian Allen,CB,28,"6'3""",210,Utah
2022,BIR,Birmingham Stallions,33,Scooby Wright III,LB,27,"6'1""",246,Arizona
2022,BIR,Birmingham Stallions,36,Nate Holley,S,27,"6'1""",210,Kent State
2022,BIR,Birmingham Stallions,38,Jordan Chunn,RB,27,"6'0""",230,Troy
2022,BIR,Birmingham Stallions,40,Brody Buck,LB,,"6'1""",230,Northwest Missouri State
2022,BIR,Birmingham Stallions,41,Jason Ferris,LB,25,"6'3""",220,Montana Western
2022,BIR,Birmingham Stallions,44,Bobby Holly,FB,24,"5'11""",240,Louisiana Tech
2022,BIR,Birmingham Stallions,47,DeMarquis Gates,LB,26,"6'2""",230,Ole Miss
2022,BIR,Birmingham Stallions,50,Justice Powers,T,26,"6'3""",295,UAB
2022,BIR,Birmingham Stallions,51,Jordan McCray,C,29,"6'2""",280,UCF
2022,BIR,Birmingham Stallions,53,Matthew Snow,T,,"6'6""",325,Pace
2022,BIR,Birmingham Stallions,55,Jonathan Newsome,DE,31,"6'4""",256,Ball State
2022,BIR,Birmingham Stallions,57,Terrill Hanks,LB,26,"6'3""",220,New Mexico State
2022,BIR,Birmingham Stallions,73,Darius Harper,T,24,"6'6""",310,Cincinnati
2022,BIR,Birmingham Stallions,74,O'Shea Dugas,T,25,"6'4""",335,Louisiana Tech
2022,BIR,Birmingham Stallions,76,Marquez Tucker,OL,25,"6'4""",291,Southern Utah
2022,BIR,Birmingham Stallions,77,Ryan Pope,OL,25,"6'7""",315,San Diego State
2022,BIR,Birmingham Stallions,78,Cameron Hunt,G,27,"6'4""",305,Oregon
2022,BIR,Birmingham Stallions,86,Cary Angeline,TE,24,"6'7""",250,North Carolina State
2022,BIR,Birmingham Stallions,90,Aaron Adeoye,DE,28,"6'6""",273,Southeast Missouri State
2022,BIR,Birmingham Stallions,91,Chauncy Haney,DE,23,"6'5""",260,North Greenville
2022,BIR,Birmingham Stallions,95,Seth Thomas,DE,,"6'6""",270,Northern Iowa
2022,BIR,Birmingham Stallions,96,Jordan Thompson,DT,,"6'2""",292,Northwestern
2022,BIR,Birmingham Stallions,97,Willie Yarbary,DT,25,"6'3""",295,Wake Forest
2022,BIR,Birmingham Stallions,99,Dondrea Tillman,DE,,"6'3""",247,Indiana (PA)
2022,HOU,Houston Gamblers,1,Isaiah Zuber,WR,25,"6'0""",190,Mississippi State
2022,HOU,Houston Gamblers,2,Dalyn Dawkins,RB,27,"5'7""",183,Colorado State
2022,HOU,Houston Gamblers,3,Azeem Victor,LB,26,"6'3""",231,Washington
2022,HOU,Houston Gamblers,4,Will Likely,CB,27,"5'7""",179,Maryland
2022,HOU,Houston Gamblers,5,Reggie Northrup,LB,28,"6'1""",220,Florida State
2022,HOU,Houston Gamblers,7,Mark Thompson,RB,27,"6'2""",235,Florida
2022,HOU,Houston Gamblers,8,Brandon Barnes,TE,27,"6'4""",255,Alabama State
2022,HOU,Houston Gamblers,9,Andrew Soroh,S,26,"6'0""",185,Florida Atlantic
2022,HOU,Houston Gamblers,10,Tyler Simmons,WR,24,"6'2""",201,Georgia
2022,HOU,Houston Gamblers,11,Kenji Bahar,QB,24,"6'3""",200,Monmouth
2022,HOU,Houston Gamblers,12,Devwah Whaley,RB,24,"5'11""",212,Arkansas
2022,HOU,Houston Gamblers,13,Andrew Galitz,P,,"6'0""",195,Baylor
2022,HOU,Houston Gamblers,14,Teo Redding,WR,27,"6'1""",176,Bowling Green
2022,HOU,Houston Gamblers,15,Donald Payne,LB,27,"6'0""",228,Stetson
2022,HOU,Houston Gamblers,16,Tyler Palka,WR,,"6'1""",200,Gannon (PA)
2022,HOU,Houston Gamblers,17,Anthony Ratliff-Williams,WR,24,"6'1""",200,North Carolina
2022,HOU,Houston Gamblers,18,Clayton Thorson,QB,26,"6'4""",225,Northwestern
2022,HOU,Houston Gamblers,19,Nick Vogel,K,26,"5'9""",190,UAB
